,Altinok,t24,sendika,OdaTV,AnadoluAjansi,Dikgazete,F5,Gerçekgündem,HaberAktuel,Habervinti,Hakkariobjektifhaber,IHA,Ilerigazetesi,KamuBulteni,Medyafaresi,Medyatava,Mynet,NTV,TRThaber,Timeturk,ahaber,bianet,buyuklimanpostasi,denizgazete,dokuzsutun,haksozhaber,sondakika,turkuazgazetesi,,
KamuBulteni,2.08%,4.17%,0.00%,4.17%,4.17%,6.25%,2.08%,14.58%,6.25%,14.58%,4.17%,4.17%,2.08%,nan,0.00%,16.67%,8.33%,8.33%,10.42%,16.67%,12.50%,4.17%,0.00%,4.17%,4.17%,2.08%,14.58%,18.75%,,
Medyafaresi,1.82%,7.27%,3.64%,10.91%,9.09%,3.64%,0.00%,12.73%,10.91%,12.73%,3.64%,1.82%,0.00%,0.00%,nan,12.73%,9.09%,5.45%,10.91%,9.09%,12.73%,1.82%,0.00%,0.00%,5.45%,1.82%,45.45%,9.09%,,
Mynet,0.00%,1.82%,1.82%,9.09%,3.64%,7.27%,5.45%,7.27%,7.27%,18.18%,10.91%,0.00%,5.45%,7.27%,9.09%,5.45%,nan,1.82%,5.45%,7.27%,7.27%,0.00%,0.00%,1.82%,7.27%,1.82%,25.45%,1.82%,,
OdaTV,1.75%,14.04%,1.75%,nan,12.28%,3.51%,1.75%,10.53%,10.53%,22.81%,10.53%,0.00%,0.00%,3.51%,8.77%,8.77%,8.77%,8.77%,14.04%,8.77%,10.53%,1.75%,1.75%,0.00%,1.75%,1.75%,29.82%,3.51%,,
NTV,2.80%,5.61%,0.93%,2.80%,5.61%,0.93%,0.93%,6.54%,7.48%,7.48%,3.74%,2.80%,1.87%,3.74%,0.93%,9.35%,0.93%,nan,5.61%,12.15%,6.54%,0.93%,0.93%,0.93%,1.87%,0.00%,8.41%,4.67%,,
pressturk,0.00%,3.57%,0.00%,0.00%,0.00%,0.00%,7.14%,0.00%,3.57%,0.00%,3.57%,0.00%,3.57%,10.71%,7.14%,10.71%,3.57%,3.57%,3.57%,17.86%,10.71%,0.00%,0.00%,0.00%,0.00%,3.57%,7.14%,0.00%,,
sondakika,2.56%,6.41%,1.28%,10.26%,10.26%,5.13%,5.13%,11.54%,16.67%,29.49%,12.82%,5.13%,1.28%,8.97%,20.51%,7.69%,11.54%,15.38%,12.82%,16.67%,14.10%,2.56%,0.00%,0.00%,5.13%,2.56%,nan,7.69%,,
t24,4.26%,nan,0.00%,14.89%,8.51%,8.51%,4.26%,17.02%,4.26%,14.89%,8.51%,2.13%,0.00%,2.13%,8.51%,14.89%,2.13%,8.51%,17.02%,10.64%,6.38%,4.26%,0.00%,0.00%,2.13%,2.13%,14.89%,6.38%,,
sendika,2.56%,0.00%,nan,2.56%,0.00%,2.56%,2.56%,2.56%,2.56%,0.00%,7.69%,0.00%,2.56%,0.00%,5.13%,5.13%,2.56%,2.56%,2.56%,0.00%,2.56%,7.69%,0.00%,0.00%,5.13%,5.13%,2.56%,2.56%,,
Altinok,nan,16.67%,5.56%,5.56%,27.78%,5.56%,0.00%,5.56%,22.22%,44.44%,11.11%,5.56%,0.00%,5.56%,5.56%,11.11%,0.00%,27.78%,22.22%,11.11%,5.56%,16.67%,11.11%,0.00%,5.56%,5.56%,16.67%,0.00%,,
